상호명,상권업종중분류명,시도명,시군구명,행정동명,경도,위도
마리오,주점,전북특별자치도,전주시 완산구,중앙동,127.140475767597,35.8170939877128
고향차마루,비알코올 ,전북특별자치도,전주시 완산구,삼천2동,127.11927882304,35.7978569181409
라움에스테틱,이용·미용,전북특별자치도,전주시 완산구,효자5동,127.103562504882,35.8178885159554
신바람난찐빵,기타 간이,전북특별자치도,정읍시,북면,126.887584514783,35.6057921676904
퓨처스오토모빌스,기술 서비스,전북특별자치도,군산시,조촌동,126.743232414202,35.9730878956683
헬프美,의약·화장품 소매,전북특별자치도,군산시,수송동,126.717846277026,35.9627838444253
스마일안과,의원,전북특별자치도,정읍시,연지동,126.845997315094,35.5725515217689
미스레몬,기타 생활용품 소매,전북특별자치도,전주시 덕진구,송천1동,127.126935928059,35.8614509049481
새롬광고기획,인쇄·제품제작,전북특별자치도,전주시 덕진구,우아1동,127.156452522682,35.8556751070418
OK세탁,세탁,전북특별자치도,김제시,검산동,126.902929986452,35.8021579005412
누리쥬얼리,시계·귀금속 소매,전북특별자치도,전주시 덕진구,호성동,127.15130442183,35.8614046633582
제이블랙,섬유·의복·신발 소매,전북특별자치도,익산시,영등2동,126.971543122458,35.962228942179
완주메디칼,의약·화장품 소매,전북특별자치도,완주군,봉동읍,127.137727941005,35.9557274503622
효자시니어클럽,사무 지원,전북특별자치도,전주시 완산구,풍남동,127.150104012392,35.8177943461655
지리산여성농업인종합지원센터사,기타 교육,전북특별자치도,남원시,인월면,127.600975078921,35.4621498568299
한가네추어탕,한식,전북특별자치도,군산시,조촌동,126.736085983083,35.9683228812756
은우식당,한식,전북특별자치도,전주시 완산구,효자5동,127.108737058349,35.8148647225801
크라운호프효자,주점,전북특별자치도,전주시 완산구,효자5동,127.101530669177,35.8212068878215
루디아옷리폼,기타 가정용품 수리,전북특별자치도,전주시 완산구,효자1동,127.128892906896,35.8050390742627
